event_id,season_label,game_date,team,team_icon,team_color,player_name,player_slug,position,goals,assists,points,minor_pen,major_pen,season_key,season_type
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Dan Richards,dan-richards,Forward,0,2,2,0,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Greg Sipprell,greg-sipprell2,Forward,0,1,1,0,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Jaro Verchkovski,jaro-verchkovski,Forward,0,0,0,0,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Lucas Kleine,lucas-kleine,Forward,0,0,0,0,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Pat Parent,pat-parent,Defence,0,0,0,1,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Paul Wolanski,paul-wolanski,Defence,0,0,0,0,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Rob Kleine,rob-kleine,Forward,0,0,0,0,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Ryan Smith,ryan-smith-og,Forward,1,0,1,0,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Serge Lossev,serge-lossev,Forward,0,0,0,0,0,2021-2022,playoffs
1123,Playoffs 2022,2022-03-21,Wildcats,https://ormrhl.com/wp-content/uploads/2021/11/wildcats_logo-128x128.png,#D97B29,Victor Verchkovski,victor-verchkovski,Forward,0,0,0,1,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Alex Disera,alex-disera,Forward,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Anthony Loduca,anthony-loduca,Forward,0,3,3,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Darren Desrosiers,darren-desrosiers,Forward,2,1,3,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,David Kane,david-kane,Forward,0,1,1,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,James Counter,james-counter,Forward,2,1,3,1,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Jeff Mitchell,jeff-mitchell,Defence,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Joey Leger,joey-leger,Forward,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Jordan Bodimeade,jordan-bodimeade,Forward,1,0,1,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Kevin Hinton,kevin-hinton,Forward,0,2,2,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Larry Laughlin,larry-laughlin,Forward,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Lucas Ackerman,lucas-ackerman,Forward,0,0,0,1,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Mario Carriero,mario-carriero,Goaltender,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Mario Mazzucco,mario-mazzucco,Forward,1,2,3,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Eagles,https://ormrhl.com/wp-content/uploads/2021/11/Eagles_logo-128x128.png,#A31E2E,Scott Sutton,scott-sutton,Defence,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Doug Grant,doug-grant,Forward,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Duncan Stalker,duncan-stalker,Defence,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Harrison Kane,harrison-kane,Defence,0,1,1,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Jackson Morgis,jackson-morgis,Goaltender,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Jeff Connor,jeff-connor,Forward,1,1,2,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Jeremy Grey,jeremy-grey,Defence,1,1,2,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Mack Charron,mack-charron,Forward,1,2,3,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Mark Sceeles,mark-sceeles,Defence,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Michael Montesanti,michael-montesanti,Forward,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Scott Browne,scott-browne,Forward,0,0,0,0,0,2021-2022,playoffs
1124,Playoffs 2022,2022-03-24,Marlins,https://ormrhl.com/wp-content/uploads/2021/11/marlins_logo-128x128.png,#1E8A8A,Thomas Grant,thomas-grant,Defence,0,1,1,0,0,2021-2022,playoffs
